ltable_id,rtable_id,label
1707,19521,0
2471,18443,0
492,12502,0
1661,18762,0
636,8689,0
564,16772,0
2422,12663,0
1616,19019,0
2126,13668,0
73,5583,0
2504,18152,0
582,1000,0
741,3534,0
1182,10803,0
896,5250,0
1973,8907,0
334,10661,1
2076,18297,1
887,2816,0
1129,10599,0
1935,5916,0
1689,7512,0
2101,9945,0
786,2821,0
2283,1739,0
983,18364,1
1996,10751,0
2523,10365,1
912,189,0
1531,16546,0
1296,19283,0
226,10098,0
117,15293,0
576,12474,0
1899,5458,1
67,12696,0
25,12,0
1384,15299,0
2470,14500,0
1467,16059,1
896,4855,0
238,203,0
1170,12137,0
2127,1951,0
1529,12468,0
2018,11230,0
2430,20429,0
42,172,1
1695,16372,0
353,8764,0
1959,20715,0
2465,8080,0
884,642,0
2328,17215,0
465,5246,0
1058,2261,0
166,286,0
2002,14930,0
1502,10098,0
53,21811,0
793,6031,0
102,7764,0
1324,912,1
557,15167,0
896,954,0
2504,18153,0
915,18622,0
547,15266,0
2305,4855,0
781,17102,0
1933,9138,0
599,8516,0
2147,6580,0
781,17483,1
565,14482,0
2507,11049,0
889,10729,0
353,10725,0
462,12785,0
970,20732,0
1689,18492,0
2389,20429,0
871,7392,0
1683,744,0
1710,20038,0
2363,21870,0
2242,11417,0
2471,17892,0
2344,6970,1
2164,13942,0
944,2280,0
1296,18507,0
2037,10500,0
720,1451,0
1581,2645,0
1447,1251,0
576,20429,0
1937,10820,0
2123,13726,0
2476,20149,0
2160,15757,0
1937,11056,0
557,13220,0
577,19367,1
1932,4979,0
700,18465,0
1616,18945,0
1806,11391,0
615,1390,0
805,2383,0
2340,20833,0
1703,17701,1
737,6767,0
1737,21662,0
1996,9288,0
1459,19650,0
2209,18420,0
2504,18465,0
1806,6377,0
709,16183,0
561,8791,0
261,3240,0
2252,16783,1
1653,20784,0
1019,18881,0
2020,21811,0
1188,9142,0
2236,9875,0
934,13150,0
1241,17235,0
661,9985,0
1672,9026,0
1529,14395,0
1959,10751,0
1077,1099,0
2405,21334,0
2149,873,0
576,12781,0
2013,9226,1
219,5834,0
1357,10675,0
1475,8650,1
1688,16431,0
446,5774,1
1284,3320,0
1178,6743,0
561,18465,0
1705,12728,0
1937,20134,0
1131,11691,0
862,5782,1
1103,832,0
660,8429,0
2472,16598,0
176,12918,0
572,733,0
2090,3292,0
1516,6810,0
1099,5697,0
2304,6397,0
1832,13396,1
333,16617,0
672,5328,0
1178,17561,0
2069,21591,0
588,20108,1
1933,9137,0
1689,17548,0
2332,18465,0
2515,4424,1
934,7127,0
1502,1628,0
1888,8764,0
2236,14107,0
1132,20121,0
2549,7860,0
1426,6182,0
1699,18049,0
1125,6212,0
1060,4728,0
1280,7637,1
242,10180,0
1525,8563,0
1893,11120,1
1178,10752,0
700,16608,0
53,806,0
1471,1177,0
2183,19859,0
2327,10203,0
547,5248,0
159,5664,1
492,14430,0
889,2789,0
481,20269,0
2424,10272,0
688,10792,0
194,6876,1
2472,18444,0
753,8205,0
1578,3323,1
2412,10590,0
973,19570,0
117,13308,0
1951,20443,1
1067,19780,0
2429,13944,0
700,2819,0
53,18443,0
2389,2818,0
418,3296,0
266,4862,0
561,13427,0
1688,9769,0
2471,17561,0
260,19417,0
1418,2835,0
1060,16598,0
2322,8451,0
342,21065,0
284,2683,0
2118,20621,1
1454,5936,0
1091,7000,0
753,3682,0
960,13884,0
2546,16909,0
1463,7574,0
175,6876,0
1410,768,0
979,11538,0
2412,17741,0
925,5769,0
248,9675,0
58,1571,0
1618,6364,1
2473,4729,0
744,18269,0
2150,11679,0
1740,17376,0
532,6031,0
313,8870,1
1529,13872,0
561,17837,0
528,11226,0
1462,17412,0
1542,2536,0
1959,820,0
753,4858,0
625,17846,0
2094,16173,0
2305,3546,0
1686,17665,1
102,7765,0
1021,16084,0
1661,5147,0
2151,7336,0
1583,2278,0
1298,1400,0
924,2316,0
2100,8349,0
1893,7128,0
187,14758,0
1285,20080,0
1248,16894,0
2430,806,0
1816,17188,0
1242,1114,0
419,30,0
742,8235,1
117,1337,0
626,9734,0
2079,13974,0
79,18187,0
1570,14952,0
1809,17186,0
2293,4522,0
805,8377,0
532,8070,0
264,16640,1
2220,8786,0
94,12207,0
1201,8128,0
244,14691,0
65,11132,0
1167,6351,0
41,20135,0
1223,12116,0
1191,5384,0
327,20123,0
973,836,0
1882,12726,0
967,6743,0
1205,10835,0
597,8342,0
458,1338,0
305,1337,0
1208,16352,0
1579,11460,1
219,729,0
2126,15701,0
856,2814,0
576,20715,0
1438,14048,0
2077,20191,0
2019,17753,0
2127,6433,0
793,15994,0
2361,12781,0
761,21777,0
2147,19748,0
2531,19976,1
99,635,0
2211,10670,0
2391,6753,0
2389,12474,0
1708,18339,0
172,3292,0
2049,6345,0
1067,9036,0
2434,22071,0
214,20714,0
2349,2809,0
2211,12696,0
1062,10754,0
1477,2432,1
2223,6744,0
2327,8544,1
145,15891,1
2394,4019,0
1729,2880,0
280,16320,0
1661,12838,0
396,14922,0
1246,15310,0
2305,853,0
509,5740,0
3,4378,1
557,11457,0
166,16333,0
1888,10727,0
1454,10763,0
1188,1177,0
95,14930,0
1705,4676,0
706,4806,0
215,10606,0
1564,10893,0
278,16320,0
514,6942,0
337,4883,0
278,16318,0
2343,4784,1
1893,698,0
320,15247,0
1010,1090,0
2077,3261,0
582,21979,0
1334,19791,0
417,9734,0
25,9002,0
582,20640,0
2430,304,0
921,498,0
1229,2613,0
1987,10905,1
993,6752,0
1708,16226,1
266,2949,1
2107,15941,0
56,15701,0
49,8096,1
1752,17695,0
678,19587,0
